line,treatment,week,latency,duration,mating,first.l,first.d
M765,single,W5,14400,NA,0,1568,264
M379,rival,W3,14400,NA,0,3529,330
M395,rival,W3,14400,NA,0,807,520
M443,single,W3,14400,NA,0,478,567
M443,single,W2,14400,NA,0,449,575
M491,rival,W2,14400,NA,0,213,581
M502,single,W2,14400,NA,0,605,600
M399,single,W4,14400,NA,0,894,621
M439,single,W3,14400,NA,0,1456,640
M596,single,W3,14400,NA,0,5192,645
M395,single,W3,14400,NA,0,285,657
M492,single,W5,14400,NA,0,819,682
M392,rival,W1,14400,NA,0,524,684
M502,single,W6,14400,NA,0,1729,698
M502,single,W2,14400,NA,0,209,702
M91,rival,W6,14400,NA,0,1328,708
M502,single,W4,14400,NA,0,1948,715
M395,single,W6,14400,NA,0,1417,717
M843,single,W2,14400,NA,0,440,729
M508,single,W2,14400,NA,0,365,732
M371,single,W5,14400,NA,0,689,732
M367,single,W1,14400,NA,0,1744,733
M443,single,W6,14400,NA,0,772,734
M443,rival,W2,14400,NA,0,421,735
M508,single,W3,14400,NA,0,3599,746
M129,rival,W1,14400,NA,0,353,750
M439,single,W2,14400,NA,0,995,778
M439,rival,W5,14400,NA,0,1349,781
M765,single,W2,14400,NA,0,1292,795
M443,rival,W4,14400,NA,0,446,800
M843,rival,W4,14400,NA,0,1095,805
M596,single,W1,14400,NA,0,179,807
M765,rival,W5,14400,NA,0,534,815
M843,single,W4,14400,NA,0,905,817
M129,single,W1,14400,NA,0,496,823
M900,rival,W3,14400,NA,0,4533,829
M765,rival,W4,14400,NA,0,489,829
M379,single,W2,14400,NA,0,279,833
M596,rival,W2,14400,NA,0,874,841
M217,single,W1,14400,NA,0,4962,847
M239,single,W3,14400,NA,0,586,853
M129,single,W2,14400,NA,0,1474,861
M399,rival,W2,14400,NA,0,195,866
M907,single,W5,14400,NA,0,498,866
M508,rival,W3,14400,NA,0,598,868
M491,single,W2,14400,NA,0,257,872
M26,rival,W5,14400,NA,0,539,873
M492,single,W3,14400,NA,0,585,875
M907,single,W5,14400,NA,0,3139,877
M392,single,W2,14400,NA,0,171,880
M399,single,W5,14400,NA,0,660,881
M765,single,W1,14400,NA,0,436,886
M907,single,W3,14400,NA,0,1268,891
M399,rival,W2,14400,NA,0,725,893
M379,rival,W5,14400,NA,0,1821,894
