female,day,line,offspring,treatment,pop,obs
187,W1,M596,96,single,iv,O510
216,W1,M900,96,rival,iv,O511
226,W1,M703,96,rival,iv,O512
204,W2,M900,96,rival,iv,O513
213,W4,M703,96,single,iv,O514
166,W5,M703,96,rival,iv,O515
190,W5,M703,96,rival,iv,O516
134,W7,M239,96,rival,iv,O517
204,W7,M900,96,rival,iv,O518
179,W1,M900,97,single,iv,O519
217,W1,M239,97,single,iv,O520
227,W6,M900,97,single,iv,O521
123,W8,M315,97,single,iv,O522
239,W8,M900,97,single,iv,O523
126,W10,M395,97,rival,iv,O524
196,W1,M315,98,rival,iv,O525
221,W1,M395,98,single,iv,O526
223,W1,M596,98,single,iv,O527
230,W1,M239,98,rival,iv,O528
184,W2,M315,98,rival,iv,O529
214,W5,M703,98,rival,iv,O530
223,W2,M596,99,single,iv,O531
239,W2,M900,99,single,iv,O532
198,W6,M395,99,rival,iv,O533
166,W1,M703,100,rival,iv,O534
191,W1,M900,100,single,iv,O535
210,W1,M395,100,rival,iv,O536
215,W1,M900,100,single,iv,O537
173,W2,M395,100,single,iv,O538
206,W2,M239,100,rival,iv,O539
221,W2,M395,100,single,iv,O540
170,W4,M239,100,rival,iv,O541
149,W5,M395,100,single,iv,O542
210,W5,M395,100,rival,iv,O543
237,W7,M703,100,single,iv,O544
121,W1,M239,101,single,iv,O545
143,W1,M900,101,single,iv,O546
151,W1,M596,101,single,iv,O547
204,W1,M900,101,rival,iv,O548
212,W1,M596,101,rival,iv,O549
222,W1,M395,101,rival,iv,O550
240,W1,M900,101,rival,iv,O551
213,W2,M703,101,single,iv,O552
222,W3,M395,101,rival,iv,O553
198,W4,M395,101,rival,iv,O554
143,W5,M900,101,single,iv,O555
187,W5,M596,101,single,iv,O556
160,W6,M315,101,rival,iv,O557
217,W7,M239,101,single,iv,O558
184,W8,M315,101,rival,iv,O559
227,W9,M900,101,single,iv,O560
130,W1,M703,102,rival,iv,O561
200,W1,M596,102,rival,iv,O562
159,W3,M315,102,single,iv,O563
168,W3,M900,102,rival,iv,O564
213,W3,M703,102,single,iv,O565
136,W4,M315,102,rival,iv,O566
166,W4,M703,102,rival,iv,O567
235,W4,M596,102,single,iv,O568
162,W5,M395,102,rival,iv,O569
196,W5,M315,102,rival,iv,O570
207,W6,M315,102,single,iv,O571
235,W6,M596,102,single,iv,O572
182,W1,M239,103,rival,iv,O573
138,W2,M395,103,rival,iv,O574
147,W2,M315,103,single,iv,O575
125,W3,M395,103,single,iv,O576
147,W4,M315,103,single,iv,O577
179,W4,M900,103,single,iv,O578
240,W4,M900,103,rival,iv,O579
198,W5,M395,103,rival,iv,O580
135,W6,M315,103,single,iv,O581
126,W7,M395,103,rival,iv,O582
151,W9,M596,103,single,iv,O583
175,W1,M596,104,single,iv,O584
165,W2,M703,104,single,iv,O585
180,W2,M900,104,rival,iv,O586
181,W2,M239,104,single,iv,O587
183,W4,M315,104,single,iv,O588
189,W4,M703,104,single,iv,O589
211,W4,M596,104,single,iv,O590
234,W5,M395,104,rival,iv,O591
184,W7,M315,104,rival,iv,O592
138,W1,M395,105,rival,iv,O593
140,W1,M596,105,rival,iv,O594
208,W1,M315,105,rival,iv,O595
135,W2,M315,105,single,iv,O596
143,W2,M900,105,single,iv,O597
218,W2,M239,105,rival,iv,O598
149,W3,M395,105,single,iv,O599
182,W3,M239,105,rival,iv,O600
183,W3,M315,105,single,iv,O601
187,W3,M596,105,single,iv,O602
230,W3,M239,105,rival,iv,O603
237,W3,M703,105,single,iv,O604
124,W5,M315,105,rival,iv,O605
154,W7,M703,105,rival,iv,O606
236,W1,M596,106,rival,iv,O607
134,W2,M239,106,rival,iv,O608
